Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Unknown,Xinjiang,Yunnan,Zhejiang
6,567,180,30,0,797,1,1,186,2,20,74,14717,5,9,7,4,2,0,14,84,1,0,9,29,22,12,71,4,1,6532,0,16,245
0,482,0,78,0,1049,0,0,0,1,12,0,13721,0,1,15,13,0,0,20,102,0,0,23,28,20,1,76,0,0,5209,0,16,90
0,0,0,0,0,0,0,0,0,0,0,0,14870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1411,654,-73,0,2584,7,21,135,38,44,205,0,-1,20,81,-27,2,-1,43,223,1,14,18,114,124,32,245,68,-7,0,0,56,171
0,403,184,0,0,932,2,0,3,14,5,30,15774,0,79,17,13,0,0,10,107,0,5,13,0,24,9,74,42,0,0,0,55,45
1,782,387,214,1,1988,3,1,7,23,29,84,31406,0,208,51,6,137,0,5,97,0,2,43,73,136,17,182,40,0,0,0,159,87
0,0,0,0,0,0,0,0,0,0,0,0,14982,0,0,0,0,0,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1015,414,184,1,2561,14,16,4,29,26,78,16953,0,234,8,20,285,0,5,96,0,11,53,46,161,78,207,136,0,0,0,284,74
0,550,271,310,2,1640,15,1,9,15,43,34,19705,112,93,16,2,23,0,2,64,1,2,25,24,87,18,111,58,1,0,0,264,32
0,584,283,338,0,1743,10,0,2,13,13,33,20252,258,109,9,1,32,0,1,32,1,5,35,31,87,52,97,51,1,0,0,309,30
3,307,234,144,0,1395,4,1,2,11,16,38,21362,172,90,4,4,4,0,0,50,0,5,27,37,43,45,123,52,5,0,0,194,23
2,342,181,142,2,1187,4,1,3,14,18,33,21255,155,87,4,1,12,0,1,49,0,2,12,25,50,49,69,58,0,0,6,189,19
0,630,283,217,0,1998,5,3,3,14,37,38,19398,256,143,4,4,33,0,3,34,14,7,27,22,92,73,161,51,0,0,0,290,28
1,894,271,345,1,2315,2,7,2,13,41,35,18626,200,205,37,1,36,0,0,74,20,7,39,26,76,67,126,59,0,0,6,378,21
18,996,315,348,1,2243,21,3,2,14,29,34,20865,198,213,34,0,88,0,3,86,15,8,13,4,82,112,94,97,0,0,9,87,21
4,908,331,520,0,2418,41,1,2,12,24,35,24895,254,260,10,0,76,0,43,88,31,2,22,26,68,141,120,63,0,0,10,68,25
5,1237,354,500,0,2775,246,0,2,13,63,29,27830,307,287,6,32,119,7,77,145,95,2,120,12,76,147,108,47,0,0,22,494,22
10,718,272,562,3,1815,399,7,2,13,44,27,29207,103,151,6,26,74,7,62,124,58,0,211,16,60,72,180,62,0,0,0,162,16
2,440,266,512,0,1572,273,88,2,11,87,23,23361,112,225,17,18,62,30,52,114,80,0,172,15,69,68,125,65,0,0,24,99,14
6,411,236,501,0,1847,383,44,0,13,40,21,20230,137,228,23,5,91,30,37,78,63,73,175,7,34,109,93,69,0,0,32,88,40
8,820,262,732,0,2919,690,93,2,15,85,31,16186,144,342,50,2,133,29,40,110,102,0,144,66,127,179,204,176,9,0,90,150,45
3,798,214,807,4,3412,1285,90,0,36,81,91,16423,174,437,26,27,150,58,36,104,74,0,122,63,510,224,124,126,8,0,100,175,53
1,840,235,924,4,3147,1807,69,2,29,105,48,18422,252,413,37,23,162,37,34,102,125,0,132,84,125,252,185,154,3,16,52,169,82
0,908,274,1234,36,3508,1829,136,1,36,128,80,19722,229,383,20,29,177,29,25,89,180,0,120,78,13,215,170,145,43,0,56,201,401
5,303,133,599,6,1837,2046,49,0,35,151,48,15850,105,216,22,1,73,35,24,107,129,118,83,106,8,112,78,76,7,0,19,129,521
507,228,119,736,120,1738,1854,147,11,42,105,181,14113,102,572,128,1091,107,17,-244,342,49,9,258,441,10,90,376,70,55,0,31,736,4220
